item_sets,supp_count
beef,294
canned beer,299
chicken,291
citrus fruit,431
frankfurter,536
other vegetables,441
pip fruit,270
pork,367
rolls/buns,331
root vegetables,280
sausage,729
soda,289
tropical fruit,454
whole milk,670
yogurt,230
bottled water,205
citrus fruit,271
other vegetables,650
pip fruit,279
rolls/buns,461
root vegetables,429
soda,347
tropical fruit,396
whole milk,774
yogurt,341
bottled water,261
other vegetables,510
pastry,239
root vegetables,245
shopping bags,223
soda,396
whipped/sour cream,216
whole milk,601
yogurt,444
bottled beer,177
bottled water,175
ham,184
hamburger meat,163
meat,169
beef,160
bottled beer,165
pastry,173
whipped/sour cream,153
bottled beer,159
brown bread,194
butter,191
curd,169
domestic eggs,196
fruit/vegetable juice,158
margarine,165
newspapers,172
pip fruit,152
"('frankfurter', 'sausage')",109
"('frankfurter', 'whole milk')",102
"('sausage', 'tropical fruit')",108
"('sausage', 'whole milk')",146
"('other vegetables', 'whole milk')",121
UHT-milk,100
canned beer,148
coffee,141
cream cheese ,132
dessert,112
frozen vegetables,136
tropical fruit,124
white bread,122
"('beef', 'sausage')",60
"('beef', 'whole milk')",62
"('canned beer', 'frankfurter')",57
"('canned beer', 'sausage')",57
"('canned beer', 'whole milk')",70
"('chicken', 'sausage')",62
"('chicken', 'whole milk')",53
"('citrus fruit', 'frankfurter')",64
"('citrus fruit', 'sausage')",85
"('citrus fruit', 'tropical fruit')",58
"('citrus fruit', 'whole milk')",81
"('frankfurter', 'other vegetables')",62
"('frankfurter', 'pork')",52
"('frankfurter', 'rolls/buns')",50
"('frankfurter', 'tropical fruit')",60
"('other vegetables', 'sausage')",99
"('other vegetables', 'tropical fruit')",55
"('other vegetables', 'whole milk')",89
"('pip fruit', 'sausage')",52
"('pork', 'sausage')",80
"('pork', 'tropical fruit')",56
"('pork', 'whole milk')",65
"('rolls/buns', 'sausage')",54
"('rolls/buns', 'whole milk')",70
"('root vegetables', 'sausage')",62
"('root vegetables', 'whole milk')",56
"('sausage', 'soda')",54
"('sausage', 'yogurt')",61
"('soda', 'whole milk')",51
"('tropical fruit', 'whole milk')",82
"('citrus fruit', 'whole milk')",52
"('other vegetables', 'rolls/buns')",76
"('other vegetables', 'root vegetables')",70
"('other vegetables', 'soda')",58
"('other vegetables', 'tropical fruit')",73
"('other vegetables', 'yogurt')",58
"('pip fruit', 'whole milk')",54
"('rolls/buns', 'root vegetables')",59
"('rolls/buns', 'whole milk')",96
"('root vegetables', 'whole milk')",90
"('soda', 'whole milk')",73
"('tropical fruit', 'whole milk')",72
"('whole milk', 'yogurt')",75
"('other vegetables', 'rolls/buns')",64
"('other vegetables', 'soda')",56
"('other vegetables', 'whole milk')",82
"('other vegetables', 'yogurt')",63
"('rolls/buns', 'whole milk')",78
"('rolls/buns', 'yogurt')",57
"('soda', 'whole milk')",62
"('whole milk', 'yogurt')",73
"('other vegetables', 'sausage', 'whole milk')",28
"('beef', 'other vegetables')",30
"('beef', 'whole milk')",30
"('bottled beer', 'whole milk')",31
"('bottled water', 'other vegetables')",40
"('bottled water', 'whole milk')",41
"('brown bread', 'other vegetables')",25
"('brown bread', 'whole milk')",36
"('butter', 'other vegetables')",28
"('butter', 'whole milk')",31
"('canned beer', 'other vegetables')",27
"('canned beer', 'whole milk')",31
"('citrus fruit', 'other vegetables')",42
"('citrus fruit', 'rolls/buns')",29
"('citrus fruit', 'root vegetables')",31
"('citrus fruit', 'tropical fruit')",29
"('frozen vegetables', 'whole milk')",25
"('hamburger meat', 'whole milk')",33
"('other vegetables', 'pastry')",29
"('other vegetables', 'pip fruit')",35
"('other vegetables', 'whipped/sour cream')",30
"('pastry', 'tropical fruit')",25
"('pastry', 'whole milk')",30
"('pip fruit', 'rolls/buns')",34
"('pip fruit', 'root vegetables')",34
"('pip fruit', 'soda')",26
"('pip fruit', 'tropical fruit')",28
"('rolls/buns', 'soda')",42
